"","LOCALITY_NAME","POSTCODE","SA2_MAINCODE","SA2_NAME"
"381","KENTUCKY SOUTH",2354,110011188,"Armidale Region - South"
"382","SOUTH KENTUCKY",2354,110011188,"Armidale Region - South"
"383","KINGSTOWN",2358,110011188,"Armidale Region - South"
"384","MIHI",2358,110011188,"Armidale Region - South"
"385","ROCKY RIVER",2358,110011188,"Armidale Region - South"
"386","SALISBURY PLAINS",2358,110011188,"Armidale Region - South"
"387","SUMMERVALE",2358,110011188,"Armidale Region - South"
"388","WINTERBOURNE",2358,110011188,"Armidale Region - South"
"389","SAUMAREZ",2350,110011188,"Armidale Region - South"
"390","SUMAREZ",2350,110011188,"Armidale Region - South"
"391","SAUMAREZ PONDS",2350,110011188,"Armidale Region - South"
"392","TORRYBURN",2358,110011188,"Armidale Region - South"
"393","URALLA",2358,110011188,"Armidale Region - South"
"394","WOLLUN",2354,110011188,"Armidale Region - South"
"395","PRETTY GULLY",2358,110011188,"Armidale Region - South"
"396","YARROWYCK",2358,110011188,"Armidale Region - South"
"397","ARDING",2358,110011188,"Armidale Region - South"
"398","CAMERONS CREEK",2359,110011188,"Armidale Region - South"
"399","CASTLE DOYLE",2350,110011188,"Armidale Region - South"
"400","CASTLEDOYLE",2350,110011188,"Armidale Region - South"
"401","BARDWELL VALLEY",2207,119041375,"Arncliffe - Bardwell Valley"
"402","TURRELLA",2205,119041375,"Arncliffe - Bardwell Valley"
"403","WOLLI CREEK",2205,119041375,"Arncliffe - Bardwell Valley"
"404","ARNCLIFFE",2205,119041375,"Arncliffe - Bardwell Valley"
"405","CARLTON",2205,119041375,"Arncliffe - Bardwell Valley"
"406","HECKENBERG",2168,127011504,"Ashcroft - Busby - Miller"
"407","MILLER",2168,127011504,"Ashcroft - Busby - Miller"
"408","SADLEIR",2168,127011504,"Ashcroft - Busby - Miller"
"409","BUSBY",2168,127011504,"Ashcroft - Busby - Miller"
"410","ASHCROFT",2168,127011504,"Ashcroft - Busby - Miller"
"411","ASHFIELD",2131,120031390,"Ashfield"
"412","BURWOOD",2131,120031390,"Ashfield"
"413","ASQUITH",2077,121021403,"Asquith - Mount Colah"
"414","HORNSBY HEIGHTS",2077,121021403,"Asquith - Mount Colah"
"415","BOBBIN HEAD",2079,121021403,"Asquith - Mount Colah"
"416","MOUNT COLAH",2079,121021403,"Asquith - Mount Colah"
"417","MT COLAH",2079,121021403,"Asquith - Mount Colah"
"418","MOUNT KURING-GAI",2080,121021403,"Asquith - Mount Colah"
"419","MT KURING-GAI",2080,121021403,"Asquith - Mount Colah"
"420","AUBURN",2144,125011582,"Auburn - Central"
"421","AUSTRAL",2179,127011505,"Austral - Greendale"
"422","BADGERYS CREEK",2555,127011505,"Austral - Greendale"
"423","GREENDALE",2745,127011505,"Austral - Greendale"
"424","KEMPS CREEK",2178,127011505,"Austral - Greendale"
"425","ROSSMORE",2557,127011505,"Austral - Greendale"
"426","BRINGELLY",2556,127011505,"Austral - Greendale"
"427","CAREEL BAY",2108,122021420,"Avalon - Palm Beach"
"428","PALM BEACH",2108,122021420,"Avalon - Palm Beach"
"429","SANDY BEACH",2108,122021420,"Avalon - Palm Beach"
"430","WHALE BEACH",2107,122021420,"Avalon - Palm Beach"
"431","AVALON",2107,122021420,"Avalon - Palm Beach"
"432","AVALON BEACH",2107,122021420,"Avalon - Palm Beach"
