Australian Bureau of Statistics

"2016 Census - Cultural Diversity"
"SA2 (UR) by CHCAREP Unpaid Child Care"
"Counting: Persons Place of Usual Residence"

Filters:
"Default Summation","Persons Place of Usual Residence"

"CHCAREP Unpaid Child Care","Did not provide child care","Cared for own child/children","Cared for other child/children","Cared for own child/children and other child/children","Not stated","Not applicable","Total",
"SA2 (UR)",
"Oatley - Hurstville Grove",6813,2228,803,81,480,2222,12614,
"Peakhurst - Lugarno",9523,2978,1250,95,833,3256,17937,
"Riverwood",6592,1586,496,45,785,1774,11277,
"South Hurstville - Blakehurst",14002,3892,1214,66,924,3966,24070,
"Arncliffe - Bardwell Valley",13371,2801,788,62,1444,2974,21443,
"Bexley",14322,4449,1140,82,1766,4727,26480,
"Kingsgrove (South) - Bardwell Park",7031,2033,663,65,558,2268,12615,
"Kogarah",6407,1971,420,32,627,1857,11315,
"Kogarah Bay - Carlton - Allawah",9017,2723,723,48,751,2703,15965,
"Monterey - Brighton-le-Sands - Kyeemagh",7769,2097,709,40,1111,2241,13972,
"Rockdale - Banksia",12038,2824,755,43,1520,2775,19960,
"Sans Souci - Ramsgate",8741,2537,947,62,1034,2656,15976,
"Concord - Mortlake - Cabarita",11888,3623,1452,78,961,3734,21742,
"Concord West - North Strathfield",15113,3863,771,40,1401,3669,24850,
"Drummoyne - Rodd Point",9823,3100,954,88,1185,3185,18326,
"Five Dock - Abbotsford",10965,3610,1017,94,1241,3516,20440,
"Balmain",8056,2701,826,89,1278,2736,15686,
"Leichhardt - Annandale",13621,4859,1010,177,1774,4953,26388,
"Lilyfield - Rozelle",7185,2555,594,88,990,2581,13991,
"Ashfield",15407,3385,886,80,1707,3033,24497,
"Burwood - Croydon",16045,3213,914,78,1399,3005,24653,
"Canterbury (North) - Ashbury",5860,1699,487,60,595,1749,10449,
"Croydon Park - Enfield",9771,2777,851,89,772,2967,17222,
"Dulwich Hill - Lewisham",9548,2645,739,99,1224,2555,16809,
"Haberfield - Summer Hill",7533,2238,628,84,707,2288,13474,
"Homebush",9241,2621,375,33,1464,2486,16211,
"Strathfield",16064,3128,1059,65,1553,3137,25016,
"Strathfield South",1968,607,142,8,189,637,3542,
"Chatswood (East) - Artarmon",15712,5237,1049,96,1574,5012,28683,
"Chatswood (West) - Lane Cove North",11528,3823,880,92,943,3591,20857,
"Lane Cove - Greenwich",13822,5035,1382,161,1157,5179,26733,
"St Leonards - Naremburn",6024,1746,418,29,685,1600,10500,
"Willoughby - Castle Cove - Northbridge",11889,5376,1220,146,1021,5811,25463,
"Asquith - Mount Colah",8887,3721,1138,121,531,3894,18291,
"Berowra - Brooklyn - Cowan",5444,2424,786,127,360,2558,11699,
"Normanhurst - Thornleigh - Westleigh",9086,3692,1170,107,624,3856,18531,
"Hornsby - East",6396,2421,384,28,453,2108,11798,
"Hornsby - West",5397,2059,562,49,538,2085,10684,
"Waitara - Wahroonga (West)",4692,2043,450,38,425,1947,9602,
"Gordon - Killara",11273,4067,1151,83,799,3957,21328,
"Lindfield - Roseville",11277,4672,1303,128,852,4916,23147,
"Pymble",7770,3442,903,97,502,3636,16354,
"St Ives",9822,4211,1378,103,663,4280,20456,
"Turramurra",9643,3573,1213,102,977,3752,19267,
"Wahroonga (East) - Warrawee",9135,3273,1148,82,765,3413,17822,
