Australian Bureau of Statistics

"2016 Experimental IHAD - Counting Families, Place of Enumeration"
"SA2 by RNTRD Rent (weekly) Ranges"
"Counting: Family Records"

Filters:
"Default Summation","Family Records"

"RNTRD Rent (weekly) Ranges","Nil payments","$1-$74","$75-$99","$100-$124","$125-$149","$150-$174","$175-$199","$200-$224","$225-$249","$250-$274","$275-$299","$300-$324","$325-$349","$350-$374","$375-$399","$400-$424","$425-$449","$450-$549","$550-$649","$650-$749","$750-$849","$850-$949","$950 and over","Not stated","Not applicable","Total",
"Singleton",30,21,29,107,45,110,107,135,105,200,134,320,103,196,88,94,18,85,10,4,0,0,4,69,4296,6304,
"Singleton Region",55,6,11,8,5,14,10,21,15,21,18,27,11,23,16,22,6,13,5,0,0,0,0,19,1577,1903,
"Maitland",12,3,0,7,15,24,26,37,31,54,46,94,44,81,140,173,34,17,5,0,0,0,0,23,1838,2709,
"Maitland - East",36,37,52,216,73,183,140,227,139,229,194,436,304,408,198,263,81,165,18,5,5,0,0,92,7737,11240,
"Maitland - North",19,5,0,8,0,13,11,13,0,12,15,51,24,57,36,57,21,24,9,0,0,0,0,19,2423,2809,
"Maitland - West",38,23,22,128,43,129,94,96,54,168,162,422,255,418,425,349,31,51,9,4,0,0,3,64,5938,8936,
"Thornton - Millers Forest",18,0,4,15,5,14,8,18,46,80,22,82,62,71,30,66,53,103,16,0,0,0,0,25,2907,3638,
"Anna Bay",21,0,0,4,5,10,6,29,8,25,17,44,40,65,32,55,20,62,18,4,0,0,0,20,1930,2414,
"Lemon Tree Passage - Tanilba Bay",22,6,0,11,3,10,37,41,31,55,57,118,64,98,59,78,6,23,0,0,0,0,0,9,2207,2947,
"Nelson Bay Peninsula",61,12,22,104,29,51,50,98,92,235,110,286,169,308,146,243,85,294,73,34,6,6,12,75,6897,9490,
"Raymond Terrace",35,27,26,168,60,103,72,161,129,283,243,248,131,165,61,120,28,25,13,3,0,0,5,52,3791,5943,
"Seaham - Woodville",20,4,0,12,0,5,0,14,5,5,0,21,9,13,4,11,0,19,4,0,3,0,0,14,1777,1939,
