Australian Bureau of Statistics

"2016 Census - Employment, Income and Education"
"SA2 (UR) by HEAP - 1 Digit Level"
"Counting: Persons Place of Usual Residence"

Filters:
"Default Summation","Persons Place of Usual Residence"

"HEAP - 1 Digit Level","Postgraduate Degree Level","Graduate Diploma and Graduate Certificate Level","Bachelor Degree Level","Advanced Diploma and Diploma Level","Certificate III & IV Level","Secondary Education - Years 10 and above","Certificate I & II Level","Secondary Education - Years 9 and below","Supplementary Codes","Not stated","Not applicable","Total",
"SA2 (UR)",
"Valentine - Eleebana",477,230,1720,1115,1870,2652,5,716,398,570,2246,11994,
"Warners Bay - Boolaroo",337,196,1475,1114,2246,3284,27,1117,406,874,2286,13371,
"Bolton Point - Teralba",112,87,561,546,1565,2286,3,867,258,782,1461,8523,
"Bonnells Bay - Silverwater",199,111,699,743,1622,2143,6,695,304,575,1628,8719,
"Edgeworth - Cameron Park",226,102,959,886,2657,3601,9,1222,329,867,3339,14200,
"Morisset - Cooranbong",391,161,1200,1093,2578,3677,13,1435,514,1528,2366,14963,
"Toronto - Awaba",346,152,1204,969,2276,3380,13,1320,434,1187,2138,13425,
"Wangi Wangi - Rathmines",206,143,796,821,1817,2140,14,713,312,504,1441,8897,
"West Wallsend - Barnsley - Killingworth",66,39,297,366,1428,1758,12,670,166,370,1313,6481,
"Adamstown - Kotara",619,283,2309,1309,2284,3525,5,978,457,723,3105,15600,
"Beresfield - Hexham",57,36,292,382,1410,2572,12,1164,211,682,1548,8358,
"Hamilton - Broadmeadow",584,261,1970,860,1484,2726,10,859,334,948,1813,11847,
"Lambton - New Lambton",759,329,2435,1311,2255,3728,7,1112,428,898,3260,16526,
"Maryland - Fletcher - Minmi",360,145,1183,912,2362,3499,5,928,326,559,3291,13570,
"Mayfield - Warabrook",539,196,1816,1090,2340,3831,11,1180,379,1221,2259,14873,
"Merewether - The Junction",829,322,2766,1173,1590,2824,9,584,361,797,2366,13622,
"Newcastle - Cooks Hill",983,281,2586,819,1108,2242,9,397,273,1028,1036,10757,
"Newcastle Port - Kooragang",0,0,0,0,3,3,0,0,0,0,5,16,
"Shortland - Jesmond",441,83,1053,596,1413,4273,15,918,268,886,1587,11544,
"Stockton - Fullerton Cove",176,76,638,505,1314,1711,8,710,228,1071,1052,7495,
"Wallsend - Elermore Vale",575,190,1949,1356,3129,4941,22,1947,567,1595,3351,19628,
"Waratah - North Lambton",385,177,1469,839,1858,3106,20,844,300,1181,1883,12059,
"Wickham - Carrington - Tighes Hill",431,189,1431,633,1140,1705,10,463,200,613,1199,8003,
"Ballina",306,239,1569,1276,2670,4414,23,1627,544,2139,2312,17115,
"Ballina Region",441,318,1917,1373,2636,3817,15,1210,530,1473,3103,16835,
"Bangalow",234,110,898,532,650,1141,3,209,135,699,1063,5670,
"Brunswick Heads - Ocean Shores",244,172,1020,772,1226,1827,12,420,232,910,1378,8212,
"Byron Bay",361,187,1559,775,1165,1991,4,314,250,1554,1359,9503,
"Evans Head",69,46,328,297,937,1369,6,570,127,621,841,5219,
"Lennox Head - Skennars Head",328,188,1233,664,1058,1649,4,382,245,490,1497,7741,
