Australian Bureau of Statistics

"2016 Experimental IHAD - Counting Families, Place of Enumeration"
"SA2 by HIED Equivalised Total Household Income (weekly)"
"Counting: Family Records"

Filters:
"Default Summation","Family Records"

"HIED Equivalised Total Household Income (weekly)","Nil income","$1-$149 ($1-$7,799)","$150-$299 ($7,800-$15,599)","$300-$399 ($15,600-$20,799)","$400-$499 ($20,800 - $25,999)","$500-$649 ($26,000-$33,799)","$650-$799 ($33,800-$41,599)","$800-$999 ($41,600-$51,999)","$1,000-$1,249 ($52,000-$64,999)","$1,250-$1,499 ($65,000-$77,999)","$1,500-$1,749 ($78,000-$90,999)","$1,750-$1,999 ($91,000-$103,999)","$2,000-$2,499 ($104,000-$129,999)","$2,500-$2,999 ($130,000-$155,999)","$3,000 or more ($156,000 or more)","Partial income stated","All incomes not stated","Not applicable","Total",
"Tamworth - North",55,33,195,398,659,666,578,688,688,420,333,248,221,47,130,419,159,554,6502,
"Tamworth - West",18,32,148,213,271,229,214,239,167,90,63,17,21,3,11,164,81,176,2158,
"Tamworth Region",83,62,267,530,976,814,722,749,734,449,306,215,193,41,96,648,248,541,7675,
"Belmont - Bennetts Green",72,53,240,462,975,755,681,744,818,524,387,243,258,65,115,523,173,188,7280,
"Belmont South - Blacksmiths",36,19,96,209,420,289,265,255,253,126,100,66,53,14,29,175,92,118,2617,
"Charlestown - Dudley",83,70,309,601,1092,954,851,1065,1110,828,583,422,463,106,182,727,196,301,9952,
"Glendale - Cardiff - Hillsborough",82,67,288,518,1033,906,914,1110,1179,768,571,381,370,128,106,617,150,258,9434,
"Mount Hutton - Windale",40,43,241,386,591,425,323,360,315,200,140,79,78,19,32,224,126,161,3769,
"Redhead",6,11,33,85,223,142,115,147,132,90,91,61,66,20,38,119,37,39,1449,
"Swansea - Caves Beach",50,42,151,341,774,530,453,463,473,314,232,162,158,43,79,360,150,175,4952,
"Valentine - Eleebana",37,22,81,173,358,375,419,511,522,463,345,249,321,102,117,365,63,76,4595,
