Australian Bureau of Statistics

"2016 Census - Counting Persons, Place of Usual Residence (MB)"
"SA2 (UR) by ENGP Proficiency in Spoken English"
"Counting: Persons Place of Usual Residence"

Filters:
"Default Summation","Persons Place of Usual Residence"

"ENGP Proficiency in Spoken English","Very well","Well","Not well","Not at all","Not stated - both language (LANP) and proficiency (ENGP) not stated","Not stated - language (LANP) stated, proficiency (ENGP) not stated","Not applicable","Total",
"SA2 (UR)",
"Bondi - Tamarama - Bronte",2384,970,255,67,1802,38,12887,18401,
"Bondi Beach - North Bondi",2808,898,210,70,2354,29,14359,20729,
"Bondi Junction - Waverly",2391,1134,356,95,1947,17,10916,16853,
"Centennial Park",0,0,0,0,0,0,0,0,
"Double Bay - Bellevue Hill",3071,753,203,83,2352,26,18378,24870,
"Dover Heights",1760,524,143,45,621,19,7701,10830,
"Paddington - Moore Park",1542,405,124,47,1455,24,11586,15171,
"Rose Bay - Vaucluse - Watsons Bay",1489,349,113,39,756,11,9079,11844,
"Woollahra",820,186,53,23,766,10,5827,7686,
"Coogee - Clovelly",3090,883,327,96,2089,57,18912,25455,
"Malabar - La Perouse - Chifley",3560,1591,628,169,3246,55,14787,24036,
"Kensington (NSW)",3354,2683,604,100,1056,41,7050,14887,
"Kingsford",3514,4082,1130,164,725,57,5940,15602,
"Maroubra - North",2077,968,386,84,419,37,5841,9812,
"Maroubra - South",1989,918,426,124,718,33,6477,10681,
"Maroubra - West",2459,1748,570,139,571,25,4683,10195,
"Randwick - North",2547,909,286,87,1039,29,11983,16874,
"Randwick - South",2043,1039,309,76,1343,31,8280,13113,
"Bass Hill - Georges Hall",7008,2729,1765,460,1031,106,8732,21834,
"Chullora",354,135,107,42,77,9,180,900,
"Condell Park",4344,1675,1040,283,547,76,3333,11305,
"Greenacre - Mount Lewis",10980,3763,2396,640,1386,170,6634,25964,
"Padstow",3713,1614,971,325,665,44,9139,16475,
"Panania - Milperra - Picnic Point",4397,1603,823,258,979,51,17677,25788,
"Revesby",3928,1762,1032,339,648,47,8474,16223,
"Yagoona - Birrong",7074,3385,2333,623,1059,118,6117,20706,
"Bankstown - North",5817,3314,2152,684,1121,127,3015,16237,
"Bankstown - South",5538,3235,2469,672,1289,131,2658,15993,
"Belmore - Belfield",6256,2919,2138,504,907,123,6188,19033,
"Canterbury (South) - Campsie",8937,6798,4775,1770,1495,220,6635,30620,
"Kingsgrove (North) - Earlwood",7065,2666,1844,359,1250,143,10346,23679,
"Punchbowl",8062,3842,2379,634,1152,151,4537,20753,
"Roselands",4733,1838,1052,327,752,79,4958,13739,
"Lakemba",6070,4269,2287,656,1055,182,2499,17019,
"Wiley Park",3708,2446,1155,366,723,92,1733,10217,
"Hurstville",7095,6108,3283,1449,1005,96,4573,23613,
"Mortdale - Penshurst",5566,3043,1400,582,1052,87,12171,23907,
"Narwee - Beverly Hills",4011,2252,1434,501,562,60,4962,13781,
"Oatley - Hurstville Grove",2565,1110,542,159,379,35,7816,12614,
"Peakhurst - Lugarno",3532,1227,594,217,518,70,11785,17937,
"Riverwood",2875,2019,1541,594,629,72,3556,11277,
"South Hurstville - Blakehurst",6712,4131,2123,834,770,84,9409,24070,
"Arncliffe - Bardwell Valley",6233,4243,1754,455,1271,108,7378,21443,
"Bexley",8600,4569,2107,587,1452,139,9029,26480,
"Kingsgrove (South) - Bardwell Park",3912,1624,1059,224,474,52,5260,12615,
"Kogarah",3928,2334,829,307,524,72,3324,11315,
"Kogarah Bay - Carlton - Allawah",4900,2614,1252,416,663,83,6041,15965,
"Monterey - Brighton-le-Sands - Kyeemagh",4266,1639,784,131,987,90,6071,13972,
"Rockdale - Banksia",6492,4360,1678,439,1288,137,5556,19960,
"Sans Souci - Ramsgate",3963,1308,653,141,889,58,8969,15976,
"Concord - Mortlake - Cabarita",4871,1992,1018,297,856,67,12643,21742,
"Concord West - North Strathfield",6895,5164,2177,703,1327,136,8445,24850,
"Drummoyne - Rodd Point",2862,870,498,100,1161,35,12791,18326,
"Five Dock - Abbotsford",3916,1391,860,169,1226,65,12812,20440,
"Balmain",1303,296,140,43,1298,18,12586,15686,
"Leichhardt - Annandale",3083,1024,471,122,1816,48,19824,26388,
"Lilyfield - Rozelle",1485,397,230,52,1011,21,10798,13991,
"Ashfield",6048,4432,1935,717,1457,110,9794,24497,
"Burwood - Croydon",6421,5763,3024,855,1174,118,7290,24653,
"Canterbury (North) - Ashbury",2379,1244,704,130,540,44,5398,10449,
"Croydon Park - Enfield",4547,2115,1293,285,688,73,8221,17222,
"Dulwich Hill - Lewisham",2854,1205,835,148,1129,48,10594,16809,
"Haberfield - Summer Hill",2381,1013,612,124,648,38,8651,13474,
"Homebush",5609,3363,1704,603,1443,115,3375,16211,
"Strathfield",8399,4868,2369,650,1313,136,7284,25016,
"Strathfield South",1218,434,223,62,151,12,1442,3542,
"Chatswood (East) - Artarmon",7382,5227,2675,838,1516,138,10911,28683,
